0,1
0.12,120	67
0.11,117	67
0.12,114	67
0.11,111	67
0.12,108	67
0.13,105	67
0.15,102	67
0.14,99	67
0.15,96	67
0.18,93	67
0.17,90	67
0.21,87	67
0.22,84	67
0.21,81	67
0.24,78	67
0.22,75	67
0.26,72	67
0.23,69	67
0.26,66	67
0.24,63	67
0.24,60	67
0.23,57	67
0.22,54	67
0.22,51	67
0.24,48	67
0.24,45	67
0.23,42	67
0.23,39	67
0.23,36	67
0.23,33	67
0.22,30	67
0.23,27	67
0.21,24	67
0.22,21	67
0.22,18	67
0.22,15	67
0.21,12	67
0.19,9	67
0.17,6	67
0.17,3	67
0.18,0	67
0.14,0	69
0.11,3	69
0.12,6	69
0.13,9	69
0.12,12	69
0.11,15	69
0.12,18	69
0.13,21	69
0.13,24	69
0.12,27	69
0.12,30	69
0.12,33	69
0.13,36	69
0.12,39	69
0.12,42	69
0.12,45	69
0.13,48	69
0.13,51	69
0.13,54	69
0.13,57	69
0.13,60	69
0.13,63	69
0.14,66	69
0.15,69	69
0.15,72	69
0.15,75	69
0.17,78	69
0.17,81	69
0.17,84	69
0.15,87	69
0.15,90	69
0.17,93	69
0.20,96	69
0.19,99	69
0.20,102	69
0.19,105	69
0.20,108	69
0.19,111	69
0.19,114	69
0.20,117	69
0.19,120	69
0.18,123	69
0.20,126	69
0.18,129	69
0.19,132	69
0.18,135	69
0.18,138	69
0.19,141	69
0.19,144	69
0.18,147	69
0.17,150	69
0.18,153	69
0.18,156	69
0.18,159	69
0.17,162	69
0.18,165	69
0.17,168	69
0.18,171	69
0.19,174	69
0.18,177	69
0.18,180	69
0.18,180	71
0.17,177	71
0.18,174	71
0.18,171	71
0.18,168	71
0.19,165	71
0.20,162	71
0.19,159	71
0.19,156	71
0.19,153	71
0.18,150	71
0.18,147	71
0.19,144	71
0.15,141	71
0.15,138	71
0.14,135	71
0.15,132	71
0.14,129	71
0.14,126	71
0.13,123	71
0.13,120	71
0.13,117	71
0.13,114	71
0.13,111	71
0.12,108	71
0.13,105	71
0.13,102	71
0.13,99	71
0.12,96	71
0.13,93	71
0.12,90	71
0.12,87	71
0.12,84	71
0.13,81	71
0.12,78	71
0.12,75	71
0.12,72	71
0.13,69	71
0.13,66	71
0.12,63	71
0.12,60	71
0.14,57	71
0.15,54	71
0.13,51	71
0.11,48	71
0.14,45	71
0.20,42	71
0.20,39	71
0.20,36	71
0.20,33	71
0.21,30	71
0.20,27	71
0.20,24	71
0.20,21	71
0.20,18	71
0.19,15	71
0.20,12	71
0.19,9	71
0.20,6	71
0.20,3	71
0.19,0	71
0.20,0	73
0.20,3	73
0.19,6	73
0.19,9	73
0.19,12	73
0.19,15	73
0.20,18	73
0.18,21	73
0.19,24	73
0.17,27	73
0.19,30	73
0.13,33	73
0.14,36	73
0.15,39	73
0.14,42	73
0.15,45	73
0.13,48	73
0.12,51	73
0.12,54	73
0.12,57	73
0.13,60	73
0.12,63	73
0.12,66	73
0.12,69	73
0.13,72	73
0.13,75	73
0.13,78	73
0.13,81	73
0.13,84	73
0.13,87	73
0.12,90	73
0.12,93	73
0.12,96	73
0.14,99	73
0.13,102	73
0.13,105	73
0.13,108	73
0.13,111	73
0.13,114	73
0.13,117	73
0.12,120	73
0.12,123	73
0.13,126	73
0.13,129	73
0.15,132	73
0.17,135	73
0.15,138	73
0.18,141	73
0.15,144	73
0.17,147	73
0.15,150	73
0.15,153	73
0.17,156	73
0.17,159	73
0.15,162	73
0.17,165	73
0.15,168	73
0.15,171	73
0.15,174	73
0.15,177	73
0.15,180	73
0.17,180	75
0.15,177	75
0.17,174	75
0.15,171	75
0.17,168	75
0.15,165	75
0.15,162	75
0.14,159	75
0.14,156	75
0.13,153	75
0.15,150	75
0.14,147	75
0.14,144	75
0.15,141	75
0.15,138	75
0.15,135	75
0.15,132	75
0.14,129	75
0.14,126	75
0.14,123	75
0.15,120	75
0.17,117	75
0.15,114	75
0.13,111	75
0.15,108	75
0.17,105	75
0.15,102	75
0.14,99	75
0.15,96	75
0.15,93	75
0.15,90	75
0.13,87	75
0.12,84	75
0.13,81	75
0.13,78	75
0.14,75	75
0.14,72	75
0.14,69	75
0.13,66	75
0.13,63	75
0.13,60	75
0.13,57	75
0.12,54	75
0.13,51	75
0.13,48	75
0.12,45	75
0.13,42	75
0.13,39	75
0.13,36	75
0.13,33	75
0.13,30	75
0.13,27	75
0.12,24	75
0.13,21	75
0.12,18	75
0.13,15	75
0.13,12	75
0.12,9	75
0.13,6	75
0.12,3	75
0.12,0	75
0.13,0	77
0.13,3	77
0.13,6	77
0.15,9	77
0.15,12	77
0.15,15	77
0.14,18	77
0.17,21	77
0.18,24	77
0.17,27	77
0.17,30	77
0.17,33	77
0.15,36	77
0.18,39	77
0.15,42	77
0.17,45	77
0.17,48	77
0.15,51	77
0.15,54	77
0.17,57	77
0.17,60	77
0.17,63	77
0.15,66	77
0.17,69	77
0.15,72	77
0.15,75	77
0.17,78	77
0.14,81	77
0.14,84	77
0.14,87	77
0.15,90	77
0.13,93	77
0.12,96	77
0.13,99	77
0.13,102	77
0.12,105	77
0.13,108	77
0.13,111	77
0.13,114	77
0.12,117	77
0.13,120	77
0.12,123	77
0.13,126	77
0.13,129	77
0.13,132	77
0.13,135	77
0.13,138	77
0.14,141	77
0.13,144	77
0.13,147	77
0.13,150	77
0.13,153	77
0.13,156	77
0.13,159	77
0.13,162	77
0.13,165	77
0.13,168	77
0.12,171	77
0.12,174	77
0.11,177	77
0.12,180	77
0.11,180	79
0.14,177	79
0.14,174	79
0.14,171	79
0.13,168	79
0.14,165	79
0.13,162	79
0.14,159	79
0.14,156	79
0.13,153	79
0.14,150	79
0.12,147	79
0.13,144	79
0.12,141	79
0.13,138	79
0.14,135	79
0.12,132	79
0.12,129	79
0.12,126	79
0.12,123	79
0.13,120	79
0.12,117	79
0.13,114	79
0.13,111	79
0.12,108	79
0.13,105	79
0.12,102	79
0.13,99	79
0.13,96	79
0.11,93	79
0.11,90	79
0.13,87	79
0.12,84	79
0.13,81	79
0.13,78	79
0.13,75	79
0.13,72	79
0.12,69	79
0.12,66	79
0.12,63	79
0.12,60	79
0.13,57	79
0.11,54	79
0.14,51	79
0.11,48	79
0.12,45	79
0.12,42	79
0.13,39	79
0.12,36	79
0.13,33	79
0.14,30	79
0.12,27	79
0.11,24	79
0.13,21	79
0.12,18	79
0.12,15	79
0.13,12	79
0.13,9	79
0.12,6	79
0.13,3	79
0.13,0	79
0.13,0	81
0.13,3	81
0.13,6	81
0.13,9	81
0.13,12	81
0.13,15	81
0.13,18	81
0.13,21	81
0.13,24	81
0.14,27	81
0.13,30	81
0.13,33	81
0.13,36	81
0.13,39	81
0.13,42	81
0.13,45	81
0.13,48	81
0.12,51	81
0.12,54	81
0.12,57	81
0.11,60	81
0.12,63	81
0.13,66	81
0.12,69	81
0.12,72	81
0.11,75	81
0.13,78	81
0.14,81	81
0.14,84	81
0.14,87	81
0.14,90	81
0.13,93	81
0.14,96	81
0.14,99	81
0.13,102	81
0.14,105	81
0.13,108	81
0.13,111	81
0.14,114	81
0.14,117	81
0.14,120	81
0.14,123	81
0.15,126	81
0.13,129	81
0.13,132	81
0.12,135	81
0.12,138	81
0.14,141	81
0.13,144	81
0.13,147	81
0.12,150	81
0.13,153	81
0.12,156	81
0.13,159	81
0.14,162	81
0.12,165	81
0.12,168	81
0.12,171	81
0.12,174	81
0.12,177	81
0.13,180	81
0.14,180	83
0.13,177	83
0.13,174	83
0.13,171	83
0.12,168	83
0.13,165	83
0.13,162	83
0.13,159	83
0.13,156	83
0.13,153	83
0.13,150	83
0.13,147	83
0.12,144	83
0.12,141	83
0.13,138	83
0.12,135	83
0.12,132	83
0.12,129	83
0.12,126	83
0.12,123	83
0.11,120	83
0.12,117	83
0.12,114	83
0.13,111	83
0.12,108	83
0.13,105	83
0.12,102	83
0.13,99	83
0.13,96	83
0.13,93	83
0.13,90	83
0.11,87	83
0.12,84	83
0.11,81	83
0.12,78	83
0.12,75	83
0.12,72	83
0.12,69	83
0.12,66	83
0.12,63	83
0.12,60	83
0.12,57	83
0.11,54	83
0.11,51	83
0.11,48	83
0.11,45	83
0.12,42	83
0.13,39	83
0.11,36	83
0.11,33	83
0.12,30	83
0.12,27	83
0.12,24	83
0.12,21	83
0.13,18	83
0.13,15	83
0.11,12	83
0.12,9	83
0.11,6	83
0.12,3	83
0.12,0	83
0.13,0	85
0.12,3	85
0.13,6	85
0.12,9	85
0.12,12	85
0.14,15	85
0.12,18	85
0.13,21	85
0.12,24	85
0.12,27	85
0.12,30	85
0.12,33	85
0.12,36	85
0.12,39	85
0.12,42	85
0.12,45	85
0.13,48	85
0.12,51	85
0.12,54	85
0.13,57	85
0.13,60	85
0.13,63	85
0.13,66	85
0.12,69	85
0.13,72	85
0.13,75	85
0.13,78	85
