0,1
False	15	18.328125	0.0,b'20\r\n'
False	15	19.703125	0.0,b'20\r\n'
False	15	21.0625	0.0,b'20\r\n'
False	15	22.421875	0.0,b'20\r\n'
False	15	23.78125	0.0,b'20\r\n'
False	15	25.140625	0.0,b'20\r\n'
False	15	26.484375	0.0,b'20\r\n'
False	15	27.859375	0.0,b'22\r\n'
False	15	29.21875	0.0,b'22\r\n'
False	15	30.5625	0.0,b'22\r\n'
False	15	31.9375	0.0,b'22\r\n'
False	15	33.296875	1979.25,b'22\r\n'
False	15	34.65625	1924.25,b'22\r\n'
False	15	36.0625	1874.5,b'22\r\n'
False	15	37.40625	1828.5,b'22\r\n'
False	15	38.765625	1788.5,b'22\r\n'
False	15	40.15625	1746.75,b'22\r\n'
False	15	41.453125	1704.0,b'22\r\n'
False	15	42.828125	1668.75,b'22\r\n'
False	15	44.171875	1639.0,b'22\r\n'
False	15	45.515625	1608.5,b'22\r\n'
False	15	46.875	1578.5,b'22\r\n'
False	15	48.21875	1552.5,b'24\r\n'
False	15	49.5625	1526.5,b'24\r\n'
False	15	50.96875	1502.75,b'24\r\n'
False	15	52.59375	0.0,b'24\r\n'
False	15	53.90625	1122.75,b'24\r\n'
False	15	55.265625	1114.0,b'24\r\n'
False	15	56.640625	1105.75,b'24\r\n'
False	15	64.671875	0.0,b'24\r\n'
False	15	66.0	0.0,b'24\r\n'
False	15	60.390625	0.0,b'24\r\n'
False	15	61.78125	1358.5,b'24\r\n'
False	15	63.078125	1346.0,b'24\r\n'
False	15	64.421875	1333.0,b'24\r\n'
False	15	65.8125	1320.25,b'24\r\n'
False	15	67.109375	1309.75,b'24\r\n'
False	15	68.4375	1302.5,b'26\r\n'
False	15	69.828125	1292.75,b'26\r\n'
False	15	71.125	1285.25,b'26\r\n'
False	15	72.484375	1282.75,b'26\r\n'
False	15	73.875	1279.0,b'26\r\n'
False	15	75.140625	1274.75,b'26\r\n'
False	15	76.53125	1271.5,b'26\r\n'
False	15	77.859375	1268.5,b'26\r\n'
False	15	79.203125	1266.75,b'26\r\n'
False	15	80.515625	1264.0,b'26\r\n'
False	15	81.859375	1261.5,b'26\r\n'
False	15	83.234375	1260.75,b'26\r\n'
False	15	84.546875	1262.25,b'26\r\n'
False	15	85.8125	1262.75,b'26\r\n'
False	15	87.203125	1263.75,b'26\r\n'
False	15	88.46875	1266.75,b'28\r\n'
False	15	89.828125	1270.0,b'28\r\n'
False	15	91.171875	1272.25,b'28\r\n'
False	15	92.484375	1275.0,b'28\r\n'
False	15	93.84375	1280.5,b'28\r\n'
False	15	95.203125	1286.0,b'28\r\n'
False	15	96.546875	1290.5,b'28\r\n'
False	15	97.828125	1296.5,b'28\r\n'
False	15	99.140625	1304.5,b'28\r\n'
False	15	100.46875	1314.25,b'28\r\n'
False	15	101.8125	1324.75,b'28\r\n'
False	15	103.109375	1337.0,b'28\r\n'
False	15	104.46875	1349.25,b'28\r\n'
False	15	105.828125	1359.5,b'28\r\n'
